# Re(z) Im(z)
1.336317 -14.121053
1.285079 -14.193412
1.235019 -14.265111
1.186134 -14.336136
1.138420 -14.406478
1.091872 -14.476123
1.046484 -14.545061
1.002252 -14.613279
0.959168 -14.680767
0.917227 -14.747511
0.876422 -14.813501
0.836744 -14.878724
0.798186 -14.943169
0.760740 -15.006825
0.724397 -15.069679
0.689147 -15.131719
0.654980 -15.192935
0.621887 -15.253315
0.589857 -15.312846
0.558878 -15.371519
0.528940 -15.429320
0.500030 -15.486240
0.472136 -15.542266
0.445245 -15.597388
0.419345 -15.651595
0.394422 -15.704875
0.370461 -15.757218
0.347449 -15.808613
0.325371 -15.859050
0.304211 -15.908517
0.283955 -15.957006
0.264587 -16.004505
0.246090 -16.051004
0.228448 -16.096494
0.211645 -16.140965
0.195663 -16.184407
0.180484 -16.226811
0.166091 -16.268167
0.152465 -16.308467
0.139589 -16.347702
0.127444 -16.385863
0.116010 -16.422942
0.105269 -16.458929
0.095200 -16.493819
0.085784 -16.527601
0.077001 -16.560270
0.068830 -16.591817
0.061252 -16.622235
0.054244 -16.651517
0.047786 -16.679658
0.041858 -16.706649
0.036436 -16.732485
0.031501 -16.757161
0.027029 -16.780669
0.022998 -16.803006
0.019388 -16.824165
0.016174 -16.844141
0.013335 -16.862931
0.010848 -16.880529
0.008690 -16.896932
0.006839 -16.912135
0.005270 -16.926136
0.003961 -16.938930
0.002889 -16.950514
0.002029 -16.960887
0.001360 -16.970045
0.000857 -16.977987
0.000496 -16.984710
0.000254 -16.990212
0.000107 -16.994494
0.000032 -16.997553
0.000004 -16.999388
0.000000 -17.000000
-0.000004 -16.999388
-0.000032 -16.997553
-0.000107 -16.994494
-0.000254 -16.990212
-0.000496 -16.984710
-0.000857 -16.977987
-0.001360 -16.970045
-0.002029 -16.960887
-0.002889 -16.950514
-0.003961 -16.938930
-0.005270 -16.926136
-0.006839 -16.912135
-0.008690 -16.896932
-0.010848 -16.880529
-0.013335 -16.862931
-0.016174 -16.844141
-0.019388 -16.824165
-0.022998 -16.803006
-0.027029 -16.780669
-0.031501 -16.757161
-0.036436 -16.732485
-0.041858 -16.706649
-0.047786 -16.679658
-0.054244 -16.651517
-0.061252 -16.622235
-0.068830 -16.591817
-0.077001 -16.560270
-0.085784 -16.527601
-0.095200 -16.493819
-0.105269 -16.458929
-0.116010 -16.422942
-0.127444 -16.385863
-0.139589 -16.347702
-0.152465 -16.308467
-0.166091 -16.268167
-0.180484 -16.226811
-0.195663 -16.184407
-0.211645 -16.140965
-0.228448 -16.096494
-0.246090 -16.051004
-0.264587 -16.004505
-0.283955 -15.957006
-0.304211 -15.908517
-0.325371 -15.859050
-0.347449 -15.808613
-0.370461 -15.757218
-0.394422 -15.704875
-0.419345 -15.651595
-0.445245 -15.597388
-0.472136 -15.542266
-0.500030 -15.486240
-0.528940 -15.429320
-0.558878 -15.371519
-0.589857 -15.312846
-0.621887 -15.253315
-0.654980 -15.192935
-0.689147 -15.131719
-0.724397 -15.069679
-0.760740 -15.006825
-0.798186 -14.943169
-0.836744 -14.878724
-0.876422 -14.813501
-0.917227 -14.747511
-0.959168 -14.680767
-1.002252 -14.613279
-1.046484 -14.545061
-1.091872 -14.476123
-1.138420 -14.406478
-1.186134 -14.336136
-1.235019 -14.265111
-1.285079 -14.193412
-1.336317 -14.121053
-1.388737 -14.048045
-1.442341 -13.974398
-1.497133 -13.900125
-1.553113 -13.825237
-1.610283 -13.749746
-1.668643 -13.673662
-1.728195 -13.596996
-1.788937 -13.519760
-1.850870 -13.441966
-1.913991 -13.363622
-1.978300 -13.284741
-2.043794 -13.205334
-2.110471 -13.125409
-2.178327 -13.044979
-2.247358 -12.964053
-2.317561 -12.882642
-2.388931 -12.800755
-2.461463 -12.718402
-2.535151 -12.635593
-2.609988 -12.552338
-2.685970 -12.468646
-2.763087 -12.384526
-2.841333 -12.299988
-2.920700 -12.215040
-3.001180 -12.129691
-3.082762 -12.043950
-3.165438 -11.957824
-3.249197 -11.871323
-3.334030 -11.784454
-3.419924 -11.697225
-3.506870 -11.609644
-3.594855 -11.521717
-3.683866 -11.433454
-3.773891 -11.344859
-3.864918 -11.255941
-3.956931 -11.166706
-4.049917 -11.077160
-4.143861 -10.987310
-4.238749 -10.897161
-4.334565 -10.806719
-4.431293 -10.715991
-4.528917 -10.624980
-4.627420 -10.533694
-4.726785 -10.442135
-4.826995 -10.350310
-4.928032 -10.258223
-5.029877 -10.165877
-5.132512 -10.073278
-5.235918 -9.980429
-5.340075 -9.887333
-5.444964 -9.793995
-5.550564 -9.700416
-5.656854 -9.606602
-5.763815 -9.512553
-5.871424 -9.418274
-5.979661 -9.323765
-6.088503 -9.229031
-6.197928 -9.134072
-6.307913 -9.038890
-6.418436 -8.943487
-6.529474 -8.847865
-6.641003 -8.752024
-6.752999 -8.655966
-6.865439 -8.559692
-6.978298 -8.463202
-7.091552 -8.366497
-7.205176 -8.269577
-7.319144 -8.172442
-7.433432 -8.075093
-7.548015 -7.977529
-7.662866 -7.879750
-7.777959 -7.781755
-7.893269 -7.683545
-8.008768 -7.585117
-8.124432 -7.486472
-8.240232 -7.387608
-8.356143 -7.288524
-8.472136 -7.189219
-8.588185 -7.089692
-8.704263 -6.989940
-8.820342 -6.889963
-8.936395 -6.789759
-9.052394 -6.689326
-9.168311 -6.588662
-9.284118 -6.487765
-9.399788 -6.386633
-9.515292 -6.285265
-9.630602 -6.183657
-9.745691 -6.081809
-9.860529 -5.979716
-9.975089 -5.877378
-10.089343 -5.774793
-10.203261 -5.671956
-10.316817 -5.568867
-10.429981 -5.465524
-10.542725 -5.361922
-10.655022 -5.258061
-10.766842 -5.153938
-10.878158 -5.049550
-10.988942 -4.944896
-11.099164 -4.839973
-11.208799 -4.734778
-11.317816 -4.629310
-11.426189 -4.523566
-11.533890 -4.417545
-11.640891 -4.311244
-11.747165 -4.204662
-11.852684 -4.097796
-11.957421 -3.990645
-12.061349 -3.883207
-12.164440 -3.775481
-12.266669 -3.667465
-12.368007 -3.559158
-12.468430 -3.450559
-12.567910 -3.341666
-12.666421 -3.232480
-12.763938 -3.122998
-12.860435 -3.013221
-12.955886 -2.903147
-13.050267 -2.792778
-13.143551 -2.682112
-13.235716 -2.571150
-13.326735 -2.459892
-13.416585 -2.348339
-13.505242 -2.236490
-13.592682 -2.124348
-13.678882 -2.011913
-13.763819 -1.899187
-13.847470 -1.786171
-13.929813 -1.672866
-14.010825 -1.559276
-14.090485 -1.445402
-14.168772 -1.331246
-14.245663 -1.216812
-14.321139 -1.102103
-14.395180 -0.987121
-14.467764 -0.871871
-14.538872 -0.756356
-14.608486 -0.640581
-14.676586 -0.524549
-14.743154 -0.408266
-14.808172 -0.291736
-14.871621 -0.174965
-14.933485 -0.057958
-14.993748 0.059278
-15.052391 0.176738
-15.109400 0.294416
-15.164759 0.412303
-15.218452 0.530394
-15.270466 0.648681
-15.320785 0.767155
-15.369396 0.885810
-15.416286 1.004637
-15.461442 1.123626
-15.504851 1.242769
-15.546502 1.362057
-15.586383 1.481480
-15.624482 1.601028
-15.660791 1.720690
-15.695298 1.840457
-15.727994 1.960317
-15.758870 2.080258
-15.787918 2.200269
-15.815130 2.320339
-15.840498 2.440455
-15.864014 2.560604
-15.885674 2.680774
-15.905470 2.800951
-15.923397 2.921122
-15.939450 3.041273
-15.953626 3.161389
-15.965919 3.281458
-15.976327 3.401462
-15.984846 3.521389
-15.991474 3.641222
-15.996210 3.760945
-15.999053 3.880543
-16.000000 4.000000
-15.999053 4.119299
-15.996210 4.238423
-15.991474 4.357355
-15.984846 4.476079
-15.976327 4.594575
-15.965919 4.712828
-15.953626 4.830818
-15.939450 4.948527
-15.923397 5.065938
-15.905470 5.183030
-15.885674 5.299785
-15.864014 5.416184
-15.840498 5.532208
-15.815130 5.647836
-15.787918 5.763050
-15.758870 5.877829
-15.727994 5.992153
-15.695298 6.106001
-15.660791 6.219354
-15.624482 6.332190
-15.586383 6.444489
-15.546502 6.556231
-15.504851 6.667393
-15.461442 6.777954
-15.416286 6.887895
-15.369396 6.997192
-15.320785 7.105825
-15.270466 7.213773
-15.218452 7.321013
-15.164759 7.427524
-15.109400 7.533285
-15.052391 7.638274
-14.993748 7.742468
-14.933485 7.845846
-14.871621 7.948388
-14.808172 8.050069
-14.743154 8.150870
-14.676586 8.250768
-14.608486 8.349742
-14.538872 8.447769
-14.467764 8.544830
-14.395180 8.640901
-14.321139 8.735961
-14.245663 8.829991
-14.168772 8.922967
-14.090485 9.014869
-14.010825 9.105677
-13.929813 9.195369
-13.847470 9.283924
-13.763819 9.371323
-13.678882 9.457545
-13.592682 9.542569
-13.505242 9.626377
-13.416585 9.708947
-13.326735 9.790262
-13.235716 9.870301
-13.143551 9.949045
-13.050267 10.026477
-12.955886 10.102576
-12.860435 10.177326
-12.763938 10.250708
-12.666421 10.322704
-12.567910 10.393298
-12.468430 10.462472
-12.368007 10.530210
-12.266669 10.596496
-12.164440 10.661312
-12.061349 10.724645
-11.957421 10.786479
-11.852684 10.846798
-11.747165 10.905590
-11.640891 10.962838
-11.533890 11.018531
-11.426189 11.072655
-11.317816 11.125196
-11.208799 11.176144
-11.099164 11.225486
-10.988942 11.273210
-10.878158 11.319307
-10.766842 11.363764
-10.655022 11.406574
-10.542725 11.447725
-10.429981 11.487210
-10.316817 11.525020
